Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,86,31,Male,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,105,34,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,75,33,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,93,28,Male,University,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,74,32,Male,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,134,20,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,133,25,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,130,38,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,108,26,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,111,33,Female,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
