"NB: This data dictionary describes the format of toolkitsurvey.csv. Data in Cleaned Data.csv is a reformatted version of toolkitsurvey.csv provided in long form. In other words, it is provided in a vertical format. Long form data is required by the likert R package for analysis. ",,,
,,,
Unique categories in Cleaned Data.csv,,,
Variable,Levels,Description ,Notes
Items ,Assorted,Questions asked to participants,N/A
Responses,Assorted,Answers to question asked in Item variable.,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Domain,"expectations, knowledgebeliefs, marginalization, Pragmatics, skills","Which specific category, or domain, of barriers to agency does this question address? Domains are further described in the manuscript.",Blank cells indicate the question was not coded as an indication of a specific category of barrier to agency
,,,
,,,
Variable,Levels,Description ,Notes
Household Number,1 to 247,Randomized numbers assigned to households.,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Age,18 to 72,Self-reported age of participants. Some answers are approximate. ,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Gender,"Female, Male",What gender does the participant describe themselves as? ,N/A
Highest level of education,"Tsy mianatra, E.P.P (ambaratonga voalohany), C.E.G (ambaratonga faharoa), Lycée (ambaratonga fahatelo), University",What is the highest level of education achieved by the participant? Tsy mianatra means the participant never attended school. Schooling levels are categorized as in the French education system,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Still in school?,"Yes, No",Is the participant still in school? Yes or no,N/A
Can read / write?,"Yes, No",Can the participant read and/or write? Yes indicates they can do either. ,N/A
"? The purpose of this study is to learn how community members feel about ongoing and potential sustainable livelihoods projects. We hope to learn things MAP can use to improve conservation interventions and other initiatives that would improve community empowerment and involvement in Southwestern Madagascar. ? The information you give us will be anonymized, meaning we will not associate your name with anything you say in the focus group. ? You may refuse to answer any question or withdraw from the study at anytime. ? If you have any questions now or after you have completed this interview, you can always contact a study team member like me, or you can call the MAP project team leaders whose names and phone numbers are on the consent form.  ? We will ask you in a moment to verbally agree. This indicates you agree to participate in this interview. If you would like to not participate, please let us know at this time.",None,Text read to survey participants to describe process,N/A
How do you feel about X as an idea for a project in your community?,"Very positive, Positive, Neutral, Negative, Very Negative",Initial guage of how participants feel about community development project being discussed,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Why do you feel this way?,Assorted,Open ended question. These responses have not been translated. ,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Do you feel X would benefit you?,"Definitely, Very probably, Probably, Possibly, Probably not, Definitely, not",Does the participant feel the community development project being discussed would benefit them?,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Why do you feel this way?,Assorted,Open ended question. These responses have not been translated. ,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Do you feel X would make life hard for you?,"Definitely, Very probably, Probably, Possibly, Probably not, Definitely, not",Does the participant feel the community development project being discussed would make life difficult for them?,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
"If so, how.",Assorted,Open ended question. These responses have not been translated. ,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
"Now we are going to discuss the steps for participation in X, and how you feel about each part of the process.",None,Text read to survey participants to describe process,N/A
How active have you felt in the decision-making process about community projects in your community?,"Very active, Moderately active, Barely active, Inactive",Gauge of how involved participant has felt in the decision-making process during past community action projects,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
Who do you think the decision makers in X would be?,Assorted,Open ended question. These responses have not been translated. ,Blank cells indicate no response was given. Respondent either did not wish to answer or left the survey early.
